method,game_mode,avg_from_highlighted_to_selected,std_from_highlighted_to_selected,error_rate,avg_elapsed_task_time,std_elapsed_task_time
blink,chase,1.4848619204980356,0.5027648586231226,0.0037037037037036535,2.6881052882583054,1.2895977069859272
blink,memory,1.5136263481406278,0.5701377970721473,0.03100775193798455,3.9471283864605335,1.3955366882100155
head_turn,chase,1.2599074563544816,0.7223666244401303,0.012448132780082943,2.9769858819320487,1.5691516909280785
head_turn,memory,1.3329769224526893,0.6319274477098284,0.02409638554216864,3.740842625797992,1.4106644118812164
hotcorner,chase,0.8365194395245839,0.39615513450590495,0.024691358024691357,2.2098662892486822,1.3208025255159732
hotcorner,memory,0.805075014791181,0.3091413950642651,0.032258064516129004,3.329859440365145,1.55735381976419
