start,target,elapsed_task_time,method,game_mode,D,W,ID
"(2, 3)","(1, 7)",1.1787500381469729,hotcorner,chase,1071.3,200.0,2.67
"(3, 3)","(1, 7)",3.60862135887146,hotcorner,chase,1011.57,200.0,2.6
"(2, 5)","(1, 7)",1.1556096076965332,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.0639493465423584,hotcorner,chase,834.63,200.0,2.37
"(3, 4)","(1, 7)",1.1855802536010742,hotcorner,chase,756.43,200.0,2.26
"(3, 5)","(1, 7)",1.38600754737854,hotcorner,chase,502.19,200.0,1.81
"(1, 4)","(1, 7)",1.0677337646484375,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",1.1336205005645752,hotcorner,chase,1199.16,200.0,2.81
"(1, 5)","(1, 7)",1.5124781131744385,hotcorner,chase,816.65,200.0,2.35
"(2, 3)","(1, 7)",37.45252060890198,hotcorner,chase,1071.3,200.0,2.67
"(3, 3)","(1, 7)",10.133630752563477,hotcorner,chase,1011.57,200.0,2.6
"(2, 5)","(1, 7)",17.630451202392578,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",4.881000757217407,hotcorner,chase,834.63,200.0,2.37
"(3, 4)","(1, 7)",1.4774410724639893,hotcorner,chase,756.43,200.0,2.26
"(3, 4)","(1, 7)",5.323596239089966,hotcorner,chase,756.43,200.0,2.26
"(1, 4)","(1, 7)",1.148552179336548,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",1.1333260536193848,hotcorner,chase,1199.16,200.0,2.81
"(1, 5)","(1, 7)",1.1440150737762451,hotcorner,chase,816.65,200.0,2.35
"(2, 3)","(1, 7)",1.0786709785461426,hotcorner,chase,1071.3,200.0,2.67
"(3, 3)","(1, 7)",1.0946874618530271,hotcorner,chase,1011.57,200.0,2.6
"(2, 5)","(1, 7)",1.2493047714233398,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.2643890380859375,hotcorner,chase,834.63,200.0,2.37
"(3, 4)","(1, 7)",1.175859451293945,hotcorner,chase,756.43,200.0,2.26
"(3, 5)","(1, 7)",1.199845790863037,hotcorner,chase,502.19,200.0,1.81
"(1, 4)","(1, 7)",1.4460728168487549,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",4.332558870315552,hotcorner,chase,1199.16,200.0,2.81
"(1, 5)","(1, 7)",1.1773567199707031,hotcorner,chase,816.65,200.0,2.35
"(2, 3)","(1, 7)",1.4118845462799072,hotcorner,chase,1071.3,200.0,2.67
"(3, 3)","(1, 7)",1.068464279174805,hotcorner,chase,1011.57,200.0,2.6
"(2, 5)","(1, 7)",1.0967192649841309,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.001556634902954,hotcorner,chase,834.63,200.0,2.37
"(2, 3)","(1, 7)",2.3528144359588623,hotcorner,memory,1071.3,200.0,2.67
"(3, 4)","(1, 7)",1.97845721244812,hotcorner,memory,756.43,200.0,2.26
"(1, 3)","(1, 7)",3.9807052612304688,hotcorner,memory,1199.16,200.0,2.81
"(2, 3)","(1, 7)",2.268982648849488,hotcorner,memory,1071.3,200.0,2.67
"(3, 3)","(1, 7)",4.027063608169556,hotcorner,memory,1011.57,200.0,2.6
"(2, 5)","(1, 7)",1.8815467357635496,hotcorner,memory,613.68,200.0,2.02
"(1, 4)","(1, 7)",1.6265110969543457,hotcorner,memory,993.43,200.0,2.58
"(1, 3)","(1, 7)",3.359644889831543,hotcorner,memory,1199.16,200.0,2.81
