start,target,elapsed_task_time,method,game_mode,D,W,ID
"(3, 4)","(3, 3)",2.4920129776000977,head_turn,memory,256.0,255.0,1.0
"(3, 3)","(2, 5)",2.829455614089966,head_turn,memory,587.44,261.89,1.7
"(2, 5)","(3, 5)",2.6255290508270264,head_turn,memory,288.0,288.0,1.0
"(3, 5)","(3, 4)",1.840980052947998,head_turn,memory,256.0,255.0,1.0
"(3, 4)","(1, 3)",4.846364974975586,head_turn,memory,630.33,281.67,1.7
"(1, 3)","(1, 5)",6.356483459472656,head_turn,memory,512.0,255.0,1.59
"(1, 5)","(3, 4)",2.675004243850708,head_turn,memory,630.33,281.67,1.7
"(3, 4)","(1, 5)",3.7651255130767822,head_turn,memory,630.33,281.67,1.7
"(1, 5)","(1, 4)",5.733134984970093,head_turn,memory,256.0,255.0,1.0
"(1, 4)","(3, 5)",2.0518040657043457,head_turn,memory,630.33,281.67,1.7
"(3, 5)","(3, 4)",2.458400011062622,head_turn,memory,256.0,255.0,1.0
"(3, 4)","(1, 4)",4.656739473342896,head_turn,memory,576.0,288.0,1.58
"(1, 4)","(2, 5)",3.107473134994507,head_turn,memory,385.33,271.94,1.27
"(2, 5)","(3, 5)",2.7487826347351074,head_turn,memory,288.0,288.0,1.0
"(3, 5)","(2, 5)",3.074507474899292,head_turn,memory,288.0,288.0,1.0
"(2, 5)","(1, 4)",4.409207582473755,head_turn,memory,385.33,271.94,1.27
"(1, 4)","(2, 3)",3.051845073699951,blink,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",3.119661331176758,blink,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",3.5175201892852783,blink,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",1.9339191913604736,blink,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",2.249768018722534,blink,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",5.172062158584595,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.3370418548583984,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",1.8101155757904053,blink,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",2.201545476913452,blink,chase,630.33,281.67,1.7
"(1, 4)","(2, 3)",2.250173568725586,blink,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",2.1615121364593506,blink,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",2.6466636657714844,blink,chase,576.0,288.0,1.58
"(1, 5)","(3, 4)",2.817011833190918,blink,chase,630.33,281.67,1.7
"(3, 4)","(1, 3)",1.7961182594299316,blink,chase,630.33,281.67,1.7
"(1, 3)","(2, 5)",3.4691178798675537,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.590383768081665,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",1.9282605648040767,blink,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",2.301709651947021,blink,chase,630.33,281.67,1.7
"(1, 4)","(2, 3)",1.838454246520996,blink,chase,385.33,271.94,1.27
"(2, 3)","(1, 5)",2.195032835006714,blink,chase,587.44,261.89,1.7
"(1, 5)","(1, 3)",2.1671037673950195,blink,chase,512.0,255.0,1.59
"(1, 3)","(2, 5)",2.7472989559173584,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.5622048377990725,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",1.7368040084838867,blink,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",2.408012866973877,blink,chase,630.33,281.67,1.7
"(1, 4)","(2, 3)",2.0137763023376465,blink,chase,385.33,271.94,1.27
"(2, 3)","(3, 5)",2.0634255409240723,blink,chase,587.44,261.89,1.7
"(3, 5)","(1, 5)",2.750180721282959,blink,chase,576.0,288.0,1.58
"(1, 5)","(1, 3)",4.010498762130737,blink,chase,512.0,255.0,1.59
"(1, 3)","(2, 5)",3.725399971008301,blink,chase,587.44,261.89,1.7
"(2, 5)","(2, 4)",1.7587697505950928,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 3)",2.450385093688965,blink,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",1.894983530044556,blink,chase,630.33,281.67,1.7
"(1, 4)","(2, 4)",5.676776885986328,blink,memory,288.0,288.0,1.0
"(2, 4)","(3, 5)",2.9720606803894043,blink,memory,385.33,271.94,1.27
"(3, 5)","(1, 5)",3.443808317184448,blink,memory,576.0,288.0,1.58
"(1, 5)","(2, 3)",3.2004287242889404,blink,memory,587.44,261.89,1.7
"(2, 3)","(2, 5)",2.603958368301392,blink,memory,512.0,255.0,1.59
"(2, 5)","(1, 3)",4.382447719573975,blink,memory,587.44,261.89,1.7
"(1, 3)","(3, 3)",2.3531951904296875,blink,memory,576.0,288.0,1.58
"(3, 3)","(2, 4)",2.707869529724121,blink,memory,385.33,271.94,1.27
"(2, 4)","(3, 4)",2.362241268157959,blink,memory,288.0,288.0,1.0
"(3, 4)","(1, 4)",3.2142953872680664,blink,memory,576.0,288.0,1.58
"(1, 4)","(1, 5)",5.1510703563690186,blink,memory,256.0,255.0,1.0
"(1, 5)","(2, 4)",2.297086238861084,blink,memory,385.33,271.94,1.27
"(2, 4)","(3, 3)",2.416858673095703,blink,memory,385.33,271.94,1.27
"(3, 3)","(2, 3)",2.4580202102661133,blink,memory,288.0,288.0,1.0
"(2, 3)","(1, 5)",3.0879218578338623,blink,memory,587.44,261.89,1.7
"(1, 5)","(3, 4)",4.34258508682251,blink,memory,630.33,281.67,1.7
"(3, 4)","(2, 3)",4.3878173828125,blink,memory,385.33,271.94,1.27
"(2, 3)","(1, 3)",5.722031116485596,blink,memory,288.0,288.0,1.0
"(1, 3)","(1, 5)",3.700916051864624,blink,memory,512.0,255.0,1.59
"(1, 5)","(3, 3)",3.86498761177063,blink,memory,770.66,271.94,1.94
"(3, 3)","(2, 4)",5.755555152893066,blink,memory,385.33,271.94,1.27
"(2, 4)","(2, 3)",2.792572021484375,blink,memory,256.0,255.0,1.0
"(2, 3)","(2, 4)",4.3407793045043945,blink,memory,256.0,255.0,1.0
"(2, 4)","(3, 3)",2.3075337409973145,blink,memory,385.33,271.94,1.27
"(3, 3)","(2, 3)",4.854028224945068,blink,memory,288.0,288.0,1.0
"(2, 3)","(1, 5)",3.063926935195923,blink,memory,587.44,261.89,1.7
"(1, 5)","(3, 3)",1.9910173416137693,head_turn,chase,770.66,271.94,1.94
"(3, 3)","(3, 5)",5.77729082107544,head_turn,chase,512.0,255.0,1.59
"(3, 5)","(2, 5)",2.3593902587890625,head_turn,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",1.7331838607788086,head_turn,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",4.564104795455933,head_turn,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",3.567267417907715,head_turn,chase,256.0,255.0,1.0
"(2, 3)","(1, 5)",4.598519325256348,head_turn,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",4.223467588424683,head_turn,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",4.302356243133545,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",4.168200969696045,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",3.463042497634888,head_turn,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",5.088786840438843,head_turn,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",3.623768568038941,head_turn,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",2.4764881134033203,head_turn,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",2.6510071754455566,head_turn,chase,256.0,255.0,1.0
"(2, 3)","(1, 5)",3.250533103942871,head_turn,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",3.0375618934631348,head_turn,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",3.646631240844727,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",23.083802223205566,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",4.605760097503662,head_turn,chase,770.66,271.94,1.94
"(3, 5)","(3, 4)",24.673643827438354,head_turn,chase,256.0,255.0,1.0
"(3, 4)","(2, 4)",2.588189125061035,head_turn,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",3.237874746322632,head_turn,chase,256.0,255.0,1.0
"(2, 3)","(1, 5)",7.911524057388306,head_turn,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",7.704261779785156,head_turn,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",4.521277189254761,head_turn,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",5.695517539978027,head_turn,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",4.19914984703064,head_turn,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",7.075758934020996,head_turn,chase,288.0,288.0,1.0
"(2, 5)","(2, 3)",7.5549232959747314,head_turn,chase,512.0,255.0,1.59
"(2, 3)","(1, 5)",3.716554641723633,head_turn,memory,587.44,261.89,1.7
"(1, 5)","(3, 3)",4.667794942855835,head_turn,memory,770.66,271.94,1.94
"(3, 3)","(1, 3)",3.833330392837525,head_turn,memory,576.0,288.0,1.58
"(1, 3)","(3, 4)",8.36732029914856,head_turn,memory,630.33,281.67,1.7
"(3, 4)","(1, 4)",3.134225606918335,head_turn,memory,576.0,288.0,1.58
"(1, 4)","(2, 4)",2.568333387374878,head_turn,memory,288.0,288.0,1.0
"(2, 4)","(1, 3)",3.249858856201172,head_turn,memory,385.33,271.94,1.27
"(1, 3)","(1, 5)",8.403918266296387,head_turn,memory,512.0,255.0,1.59
"(1, 5)","(2, 5)",4.149646282196045,head_turn,memory,288.0,288.0,1.0
"(2, 5)","(1, 5)",6.620054483413696,head_turn,memory,288.0,288.0,1.0
"(1, 5)","(2, 5)",11.00477147102356,head_turn,memory,288.0,288.0,1.0
"(2, 5)","(2, 4)",2.213741064071656,head_turn,memory,256.0,255.0,1.0
"(2, 4)","(3, 4)",4.782698154449463,head_turn,memory,288.0,288.0,1.0
"(3, 4)","(2, 4)",2.1642205715179443,head_turn,memory,288.0,288.0,1.0
"(2, 4)","(1, 5)",7.182096481323242,head_turn,memory,385.33,271.94,1.27
"(1, 5)","(2, 4)",5.336920738220215,head_turn,memory,385.33,271.94,1.27
"(2, 4)","(2, 3)",7.451638460159302,head_turn,memory,256.0,255.0,1.0
"(2, 3)","(1, 5)",4.1325109004974365,head_turn,memory,587.44,261.89,1.7
"(1, 5)","(3, 3)",5.650342226028442,head_turn,memory,770.66,271.94,1.94
"(3, 3)","(1, 5)",3.631020784378052,head_turn,memory,770.66,271.94,1.94
"(1, 5)","(1, 4)",4.282014608383179,head_turn,memory,256.0,255.0,1.0
"(1, 4)","(2, 5)",4.729632377624512,head_turn,memory,385.33,271.94,1.27
"(2, 5)","(2, 4)",3.2177088260650635,head_turn,memory,256.0,255.0,1.0
"(2, 4)","(1, 5)",4.66609263420105,head_turn,memory,385.33,271.94,1.27
"(1, 5)","(2, 5)",6.733888864517212,head_turn,memory,288.0,288.0,1.0
"(2, 5)","(3, 5)",9.068448066711426,head_turn,memory,288.0,288.0,1.0
"(3, 5)","(1, 4)",3.592958927154541,head_turn,memory,630.33,281.67,1.7
"(1, 4)","(2, 3)",3.181360960006714,head_turn,memory,385.33,271.94,1.27
"(2, 3)","(1, 5)",2.9418492317199707,blink,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",4.540282249450684,blink,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",2.135942220687866,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",4.43560791015625,blink,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",3.371387720108032,blink,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",5.696977853775024,blink,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",3.783546686172485,blink,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",1.9359781742095947,blink,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",3.996577262878418,blink,chase,256.0,255.0,1.0
"(2, 3)","(1, 5)",2.785490036010742,blink,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",2.534480094909668,blink,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",2.4763076305389404,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",2.009119033813477,blink,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",2.294828414916992,blink,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",2.20457410812378,blink,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",2.067370653152466,blink,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",1.2768375873565674,blink,chase,288.0,288.0,1.0
"(2, 4)","(3, 3)",4.281665325164795,blink,chase,385.33,271.94,1.27
"(3, 3)","(1, 4)",2.9245200157165527,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",2.3099069595336914,blink,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",4.388453245162964,blink,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",2.6458189487457275,blink,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",2.744072437286377,blink,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",1.6748263835906982,blink,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",12.769970655441284,blink,chase,256.0,255.0,1.0
"(2, 3)","(1, 5)",2.4001147747039795,blink,chase,587.44,261.89,1.7
"(1, 5)","(3, 3)",2.515338897705078,blink,chase,770.66,271.94,1.94
"(3, 3)","(1, 4)",2.25196385383606,blink,chase,630.33,281.67,1.7
"(1, 4)","(1, 3)",2.2026991844177246,blink,chase,256.0,255.0,1.0
"(1, 3)","(3, 5)",2.1491594314575195,blink,chase,770.66,271.94,1.94
"(3, 5)","(2, 5)",2.2322940826416016,blink,chase,288.0,288.0,1.0
"(2, 5)","(3, 4)",3.2830965518951416,blink,chase,385.33,271.94,1.27
"(3, 4)","(2, 4)",2.109435796737671,blink,chase,288.0,288.0,1.0
"(2, 4)","(2, 3)",5.874412059783936,blink,chase,256.0,255.0,1.0
"(2, 3)","(1, 3)",6.526870250701904,blink,memory,288.0,288.0,1.0
"(1, 3)","(1, 5)",5.591367959976196,blink,memory,512.0,255.0,1.59
"(1, 5)","(3, 5)",9.038955211639404,blink,memory,576.0,288.0,1.58
"(3, 5)","(1, 5)",3.5235328674316406,blink,memory,576.0,288.0,1.58
"(1, 5)","(2, 4)",4.681355714797974,blink,memory,385.33,271.94,1.27
"(2, 4)","(1, 3)",4.096248149871826,blink,memory,385.33,271.94,1.27
"(1, 3)","(2, 5)",7.103698968887329,blink,memory,587.44,261.89,1.7
"(2, 5)","(2, 4)",3.5395007133483887,blink,memory,256.0,255.0,1.0
"(2, 4)","(3, 5)",6.9974045753479,blink,memory,385.33,271.94,1.27
"(3, 5)","(1, 5)",3.9116408824920654,blink,memory,576.0,288.0,1.58
"(1, 5)","(3, 3)",8.172699689865112,blink,memory,770.66,271.94,1.94
"(3, 3)","(1, 3)",4.158006191253662,blink,memory,576.0,288.0,1.58
"(1, 3)","(2, 4)",4.384807586669922,blink,memory,385.33,271.94,1.27
"(2, 4)","(2, 5)",7.105290651321411,blink,memory,256.0,255.0,1.0
"(2, 5)","(2, 4)",4.511313199996948,blink,memory,256.0,255.0,1.0
"(2, 4)","(2, 3)",3.7182047367095934,blink,memory,256.0,255.0,1.0
"(2, 3)","(3, 3)",7.660246849060059,blink,memory,288.0,288.0,1.0
"(3, 3)","(1, 3)",3.932435989379883,blink,memory,576.0,288.0,1.58
"(1, 3)","(1, 4)",4.659458875656128,blink,memory,256.0,255.0,1.0
"(1, 4)","(1, 3)",8.29761266708374,blink,memory,256.0,255.0,1.0
"(1, 3)","(2, 3)",3.352221727371216,blink,memory,288.0,288.0,1.0
"(2, 3)","(3, 3)",4.948953151702881,blink,memory,288.0,288.0,1.0
"(3, 3)","(1, 5)",5.857262372970581,blink,memory,770.66,271.94,1.94
"(1, 5)","(1, 3)",6.802510738372803,blink,memory,512.0,255.0,1.59
"(1, 3)","(1, 5)",41.34045481681824,blink,memory,512.0,255.0,1.59
"(1, 5)","(2, 5)",4.510796070098877,blink,memory,288.0,288.0,1.0
"(2, 5)","(3, 3)",8.828550815582275,blink,memory,587.44,261.89,1.7
"(3, 3)","(1, 4)",4.205782175064087,blink,memory,630.33,281.67,1.7
"(1, 4)","(1, 5)",7.44560432434082,blink,memory,256.0,255.0,1.0
"(1, 5)","(1, 7)",3.109527587890625,hotcorner,chase,816.65,200.0,2.35
"(3, 3)","(1, 7)",2.018238067626953,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",4.275695562362671,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",1.8809785842895508,hotcorner,chase,1199.16,200.0,2.81
"(3, 5)","(1, 7)",3.833444356918335,hotcorner,chase,502.19,200.0,1.81
"(2, 5)","(1, 7)",1.402430772781372,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.033585548400879,hotcorner,chase,834.63,200.0,2.37
"(2, 3)","(1, 7)",2.470450162887573,hotcorner,chase,1071.3,200.0,2.67
"(1, 5)","(1, 7)",1.5738186836242676,hotcorner,chase,816.65,200.0,2.35
"(3, 3)","(1, 7)",2.005753993988037,hotcorner,chase,1011.57,200.0,2.6
"(1, 3)","(1, 7)",5.2286598682403564,hotcorner,chase,1199.16,200.0,2.81
"(3, 5)","(1, 7)",3.1148464679718018,hotcorner,chase,502.19,200.0,1.81
"(2, 5)","(1, 7)",1.431194305419922,hotcorner,chase,613.68,200.0,2.02
"(3, 4)","(1, 7)",4.223794460296631,hotcorner,chase,756.43,200.0,2.26
"(2, 4)","(1, 7)",1.058696746826172,hotcorner,chase,834.63,200.0,2.37
"(2, 3)","(1, 7)",4.111180782318115,hotcorner,chase,1071.3,200.0,2.67
"(1, 5)","(1, 7)",3.74980092048645,hotcorner,chase,816.65,200.0,2.35
"(3, 3)","(1, 7)",1.4767723083496094,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",1.4278030395507812,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",1.9754903316497805,hotcorner,chase,1199.16,200.0,2.81
"(3, 5)","(1, 7)",1.259589910507202,hotcorner,chase,502.19,200.0,1.81
"(2, 5)","(1, 7)",1.270134687423706,hotcorner,chase,613.68,200.0,2.02
"(3, 4)","(1, 7)",1.3797976970672607,hotcorner,chase,756.43,200.0,2.26
"(2, 4)","(1, 7)",2.629873275756836,hotcorner,chase,834.63,200.0,2.37
"(2, 3)","(1, 7)",3.1102724075317383,hotcorner,chase,1071.3,200.0,2.67
"(1, 5)","(1, 7)",1.3709006309509275,hotcorner,chase,816.65,200.0,2.35
"(3, 3)","(1, 7)",1.2917006015777588,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",1.3137319087982178,hotcorner,chase,993.43,200.0,2.58
"(1, 3)","(1, 7)",1.2351341247558594,hotcorner,chase,1199.16,200.0,2.81
"(3, 5)","(1, 7)",1.2623236179351809,hotcorner,chase,502.19,200.0,1.81
"(2, 5)","(1, 7)",1.5250484943389893,hotcorner,chase,613.68,200.0,2.02
"(3, 4)","(1, 7)",1.2369754314422607,hotcorner,chase,756.43,200.0,2.26
"(2, 4)","(1, 7)",0.696796178817749,hotcorner,chase,834.63,200.0,2.37
"(2, 3)","(1, 7)",2.046827793121338,hotcorner,chase,1071.3,200.0,2.67
"(1, 4)","(1, 7)",4.097551345825195,hotcorner,memory,993.43,200.0,2.58
"(2, 5)","(1, 7)",2.0740625858306885,hotcorner,memory,613.68,200.0,2.02
"(3, 4)","(1, 7)",3.909389734268189,hotcorner,memory,756.43,200.0,2.26
"(3, 3)","(1, 7)",3.4860939979553223,hotcorner,memory,1011.57,200.0,2.6
"(2, 3)","(1, 7)",3.84701943397522,hotcorner,memory,1071.3,200.0,2.67
"(3, 4)","(1, 7)",2.74254846572876,hotcorner,memory,756.43,200.0,2.26
"(2, 5)","(1, 7)",1.9400787353515625,hotcorner,memory,613.68,200.0,2.02
"(1, 5)","(1, 7)",2.734546422958374,hotcorner,memory,816.65,200.0,2.35
"(3, 3)","(1, 7)",1.9944126605987549,hotcorner,memory,1011.57,200.0,2.6
"(2, 5)","(1, 7)",11.831826448440552,hotcorner,memory,613.68,200.0,2.02
"(1, 3)","(1, 7)",1.993091344833374,hotcorner,memory,1199.16,200.0,2.81
"(1, 5)","(1, 7)",8.512935161590576,hotcorner,memory,816.65,200.0,2.35
"(3, 5)","(1, 7)",3.196295738220215,hotcorner,memory,502.19,200.0,1.81
"(3, 3)","(1, 7)",6.392221212387085,hotcorner,memory,1011.57,200.0,2.6
"(3, 4)","(1, 7)",2.08819317817688,hotcorner,memory,756.43,200.0,2.26
"(2, 5)","(1, 7)",2.1420607566833496,hotcorner,memory,613.68,200.0,2.02
"(2, 5)","(1, 7)",1.8650155067443848,hotcorner,memory,613.68,200.0,2.02
"(3, 3)","(1, 7)",3.707717180252075,hotcorner,memory,1011.57,200.0,2.6
"(1, 5)","(1, 7)",3.544581174850464,hotcorner,memory,816.65,200.0,2.35
"(1, 3)","(1, 7)",3.643835067749024,hotcorner,memory,1199.16,200.0,2.81
"(1, 5)","(1, 7)",1.608525276184082,hotcorner,memory,816.65,200.0,2.35
"(3, 5)","(1, 7)",2.0672616958618164,hotcorner,memory,502.19,200.0,1.81
"(2, 5)","(1, 7)",2.11683201789856,hotcorner,memory,613.68,200.0,2.02
"(3, 3)","(1, 7)",2.85543179512024,hotcorner,memory,1011.57,200.0,2.6
"(3, 4)","(1, 7)",1.8381288051605225,hotcorner,memory,756.43,200.0,2.26
"(2, 4)","(1, 7)",1.9691307544708248,hotcorner,memory,834.63,200.0,2.37
"(3, 4)","(1, 7)",4.846534490585327,hotcorner,memory,756.43,200.0,2.26
"(1, 4)","(1, 7)",2.071012496948242,hotcorner,memory,993.43,200.0,2.58
"(2, 5)","(1, 7)",4.105689525604248,hotcorner,memory,613.68,200.0,2.02
"(3, 4)","(1, 7)",2.405866861343384,hotcorner,memory,756.43,200.0,2.26
"(1, 4)","(1, 7)",3.9722025394439697,hotcorner,memory,993.43,200.0,2.58
"(1, 3)","(1, 7)",5.683545112609863,hotcorner,memory,1199.16,200.0,2.81
"(1, 5)","(1, 7)",2.071606159210205,hotcorner,memory,816.65,200.0,2.35
"(1, 4)","(1, 7)",2.83837890625,hotcorner,memory,993.43,200.0,2.58
"(1, 4)","(2, 5)",3.32877254486084,blink,memory,385.33,271.94,1.27
"(2, 5)","(3, 4)",6.239327907562256,blink,memory,385.33,271.94,1.27
"(3, 4)","(2, 4)",3.114750862121582,blink,memory,288.0,288.0,1.0
"(2, 4)","(3, 5)",12.39659023284912,blink,memory,385.33,271.94,1.27
"(3, 5)","(2, 3)",5.462944507598877,blink,memory,587.44,261.89,1.7
"(2, 3)","(3, 3)",3.35746693611145,blink,memory,288.0,288.0,1.0
"(3, 3)","(2, 3)",4.285268306732178,blink,memory,288.0,288.0,1.0
"(2, 3)","(1, 5)",4.020118236541748,blink,memory,587.44,261.89,1.7
"(1, 5)","(2, 5)",3.820742130279541,blink,memory,288.0,288.0,1.0
"(2, 5)","(2, 3)",3.1627871990203857,blink,memory,512.0,255.0,1.59
"(2, 3)","(2, 5)",8.489043951034546,blink,memory,512.0,255.0,1.59
"(2, 5)","(2, 3)",4.409192323684692,blink,memory,512.0,255.0,1.59
"(2, 3)","(2, 4)",5.775195598602295,blink,memory,256.0,255.0,1.0
"(2, 4)","(1, 3)",3.44020938873291,blink,memory,385.33,271.94,1.27
"(1, 3)","(3, 5)",3.3903677463531494,blink,memory,770.66,271.94,1.94
"(3, 5)","(1, 4)",3.398874521255493,blink,memory,630.33,281.67,1.7
"(1, 4)","(1, 3)",4.4388747215271,blink,memory,256.0,255.0,1.0
"(1, 3)","(3, 3)",2.489063024520874,blink,memory,576.0,288.0,1.58
"(3, 3)","(1, 3)",2.3543496131896973,blink,memory,576.0,288.0,1.58
"(1, 3)","(3, 3)",3.7451305389404297,blink,memory,576.0,288.0,1.58
"(3, 3)","(2, 5)",2.592193841934204,blink,memory,587.44,261.89,1.7
"(2, 5)","(3, 5)",5.647491693496704,blink,memory,288.0,288.0,1.0
"(3, 5)","(1, 4)",6.861189842224121,blink,memory,630.33,281.67,1.7
"(1, 4)","(1, 3)",6.606028318405151,blink,memory,256.0,255.0,1.0
"(1, 3)","(2, 3)",3.327571153640747,blink,memory,288.0,288.0,1.0
"(2, 3)","(3, 4)",9.74933648109436,blink,memory,385.33,271.94,1.27
"(3, 4)","(1, 5)",3.475942611694336,blink,memory,630.33,281.67,1.7
"(1, 5)","(3, 3)",2.7249560356140137,blink,memory,770.66,271.94,1.94
"(3, 3)","(2, 5)",7.491315126419067,blink,memory,587.44,261.89,1.7
"(2, 5)","(1, 3)",6.415484666824341,blink,memory,587.44,261.89,1.7
"(1, 3)","(3, 3)",3.2331247329711914,blink,memory,576.0,288.0,1.58
"(3, 3)","(3, 5)",6.885205507278442,blink,chase,512.0,255.0,1.59
"(3, 5)","(2, 4)",1.453629970550537,blink,chase,385.33,271.94,1.27
"(2, 4)","(2, 5)",3.570141315460205,blink,chase,256.0,255.0,1.0
"(2, 5)","(1, 4)",2.0938611030578613,blink,chase,385.33,271.94,1.27
"(1, 4)","(1, 3)",2.329472303390503,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",2.9521923065185547,blink,chase,512.0,255.0,1.59
"(1, 5)","(3, 3)",1.876874923706055,blink,chase,770.66,271.94,1.94
"(3, 3)","(2, 3)",2.760033369064331,blink,chase,288.0,288.0,1.0
"(2, 3)","(3, 5)",7.128997802734375,blink,chase,587.44,261.89,1.7
"(3, 5)","(2, 4)",1.6567323207855225,blink,chase,385.33,271.94,1.27
"(2, 4)","(2, 5)",3.769309759140015,blink,chase,256.0,255.0,1.0
"(2, 5)","(3, 4)",8.98810362815857,blink,chase,385.33,271.94,1.27
"(3, 4)","(1, 4)",1.579557180404663,blink,chase,576.0,288.0,1.58
"(1, 4)","(1, 3)",2.8462517261505127,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",2.6049845218658447,blink,chase,512.0,255.0,1.59
"(1, 5)","(3, 3)",4.234359979629517,blink,chase,770.66,271.94,1.94
"(3, 3)","(2, 3)",2.661940097808838,blink,chase,288.0,288.0,1.0
"(2, 3)","(3, 5)",2.967977285385132,blink,chase,587.44,261.89,1.7
"(3, 5)","(2, 4)",1.7248823642730713,blink,chase,385.33,271.94,1.27
"(2, 4)","(2, 5)",3.057950735092163,blink,chase,256.0,255.0,1.0
"(2, 5)","(3, 4)",3.93078875541687,blink,chase,385.33,271.94,1.27
"(3, 4)","(1, 4)",1.796999454498291,blink,chase,576.0,288.0,1.58
"(1, 4)","(1, 3)",1.6444659233093262,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",2.152189254760742,blink,chase,512.0,255.0,1.59
"(1, 5)","(3, 3)",2.2316343784332275,blink,chase,770.66,271.94,1.94
"(3, 3)","(2, 3)",1.51961350440979,blink,chase,288.0,288.0,1.0
"(2, 3)","(2, 4)",3.515226364135742,blink,chase,256.0,255.0,1.0
"(2, 4)","(3, 4)",3.844368696212769,blink,chase,288.0,288.0,1.0
"(3, 4)","(1, 4)",7.096229076385498,blink,chase,576.0,288.0,1.58
"(1, 4)","(1, 3)",2.9161689281463623,blink,chase,256.0,255.0,1.0
"(1, 3)","(1, 5)",2.8097238540649414,blink,chase,512.0,255.0,1.59
"(1, 5)","(3, 3)",2.556800603866577,blink,chase,770.66,271.94,1.94
"(2, 4)","(1, 7)",17.686833381652832,hotcorner,memory,834.63,200.0,2.37
"(1, 3)","(1, 7)",2.5542845726013184,hotcorner,memory,1199.16,200.0,2.81
