method,game_mode,participant,a,b,R_squared,n_points
blink,chase,p1_real2,1.8322678655765774,0.2573281813794309,0.006369258031449276,32
blink,chase,p2_real2,0.14958101976995064,1.5137707249991177,0.20549966970694422,32
blink,chase,p3_real,3.1843701310773542,-0.30436725910248075,0.01150484516589223,29
blink,chase,p4_real,2.7232315893770185,-0.014316685524610767,1.9175906609825155e-05,28
blink,chase,p5_real,1.9587691372361924,-0.07833847736511906,0.0027972743645202636,34
blink,chase,p6_real,2.2612810711622613,0.3033159702847861,0.007604614548567201,33
blink,chase,p7_real,3.4180271695488638,-0.5400879110028576,0.024117919092171647,30
blink,chase,p8_real,1.311437440000534,1.3296054459817537,0.11637072568839157,34
blink,memory,p1_real2,2.2789577642219987,0.45874533254395544,0.026496500643718113,29
blink,memory,p2_real2,4.721344157716244,-0.8304129337223596,0.04724254623334889,26
blink,memory,p3_real,2.8957654934142267,1.331761607293947,0.10170627052836445,14
blink,memory,p4_real,5.559982915696861,-1.1318688797572496,0.08227134558264326,26
blink,memory,p5_real,3.619528212438804,0.2431558781129707,0.004009568402182362,25
blink,memory,p6_real,3.6713536270099336,-0.09354520492306162,0.0006236276202283841,22
blink,memory,p7_real,5.439410155530131,-1.1082889641570144,0.10489344161865799,25
blink,memory,p8_real,3.8678130975342473,-0.36494649810538,0.009650587239109276,29
head_turn,chase,p1_real2,1.4207314249764096,0.22716109365120185,0.014905195724355336,28
head_turn,chase,p2_real2,5.080341254540183,-0.48666024020599397,0.011417558556938379,13
head_turn,chase,p3_real,3.8395928033157594,-0.07729048696179183,0.000687099146300274,23
head_turn,chase,p4_real,1.0594977431042143,1.6546657058668863,0.11994426836906524,26
head_turn,chase,p5_real,2.1967485594324487,-0.050471361177605534,0.00039558798456706956,31
head_turn,chase,p6_real,2.1124355944612456,0.2382488215368777,0.010153852528494545,34
head_turn,chase,p7_real,2.15625598443574,0.015624574695010607,3.2355327900801534e-05,27
head_turn,chase,p8_real,1.105512116234772,0.9730302875747907,0.2774256534025402,30
head_turn,memory,p1_real2,2.998436111006672,-0.29325413282958745,0.046795088964074805,24
head_turn,memory,p2_real2,2.6790835309406127,0.48181535853503143,0.016827390430970035,29
head_turn,memory,p3_real,3.728451203980344,0.2632741066365951,0.005939961549690009,22
head_turn,memory,p4_real,4.112785250523164,-0.3597535164881064,0.011835423802425749,13
head_turn,memory,p5_real,2.700544012603013,0.4417186927107759,0.023008711511447344,25
head_turn,memory,p6_real,5.332097023676507,-0.762651978148934,0.04443200558702942,23
head_turn,memory,p7_real,3.5407295732617072,-0.5034917764813147,0.07003450157603652,31
head_turn,memory,p8_real,1.8894171493432192,1.2396332638718028,0.2171928535632679,23
hotcorner,chase,p1_real2,0.8883623674030883,0.30805666224057315,0.006255576723274592,32
hotcorner,chase,p2_real2,17.266836974831747,-5.851629190347073,1.0,2
hotcorner,chase,p3_real,3.8050077691224056,-0.5491927778649348,0.0233162333822311,7
hotcorner,chase,p4_real,11.859543890014793,-3.4330109009904186,0.3760966807184114,19
hotcorner,chase,p5_real,10.046978454388443,-3.1221566032882917,0.30199434677762593,29
hotcorner,chase,p6_real,3.020423106751343,-0.48288752227998266,0.028193118513443194,32
hotcorner,chase,p7_real,1.0437671795806194,0.37914375957539725,0.009907660400112372,31
hotcorner,chase,p8_real,5.22426918275374,-1.2720665421132153,0.12094929187069803,31
hotcorner,memory,p1_real2,-1.9663919836883073,1.8667689577672426,0.17879849207392096,35
hotcorner,memory,p2_real2,4.2640947673839475,-0.26901997664317945,0.0021703067363081363,31
hotcorner,memory,p3_real,-0.7948763008733666,1.607264285303839,0.14837460624820242,32
hotcorner,memory,p4_real,3.934545533050686,0.052353136464167636,1.3166477967785362e-05,13
hotcorner,memory,p5_real,4.447644818089329,-0.48371408731080734,0.02205474947810937,29
hotcorner,memory,p6_real,-0.5670501228037732,1.42832553368167,0.07764553755640391,29
hotcorner,memory,p7_real,3.7722208822786225,-0.21203716590337027,0.004214046339041877,30
hotcorner,memory,p8_real,1.954567408126112,0.3953545955639602,0.009196432836856672,32
