participant,method,avg_from_highlighted_to_selected,error_rate,avg_elapsed_task_time,avg_gaze_movement
p1_real2,blink,1.1412304469517298,0.042857142857142816,2.591651953969683,63825.279101952125
p1_real2,head_turn,1.4721668561299641,0.04347826086956519,3.5937187740768213,94406.25499335078
p1_real2,hotcorner,0.5436575614230733,0.04225352112676062,2.9827735994903133,94542.57448353637
p2_real2,blink,1.4026209525207975,0.04477611940298509,3.057066575804753,65373.827613828915
p2_real2,head_turn,1.4343172788619996,0.02857142857142858,5.75132999420166,150729.85426035555
p2_real2,hotcorner,0.9385487556457519,0.014285714285714235,3.372492708478655,563160.7489691871
p3_real,blink,1.8933751004082815,0.0,5.017877953393119,86791.36770599087
p3_real,head_turn,1.5437836274504662,0.015625,5.3752033226192,91249.96287845339
p3_real,hotcorner,0.8124636131174424,0.0,2.7827189985443566,424382.0154040107
p4_real,blink,1.5492039666031345,0.0,4.005404779405305,70303.16711737087
p4_real,head_turn,1.3340860835967525,0.0,5.222559855830285,136547.79609594584
p4_real,hotcorner,1.2133184378264381,0.016393442622950838,7.829781286052016,174158.7851241229
p5_real,blink,1.3103906067324356,0.0,3.4843601374559,69332.58886308645
p5_real,head_turn,1.089270360329572,0.0,3.184662278960733,64565.09155538374
p5_real,hotcorner,0.8541515460381142,0.0461538461538461,3.5536727721874533,100311.43366469958
p6_real,blink,1.6688766082127888,0.0,3.863923387395011,81458.03118617045
p6_real,head_turn,1.52403623566908,0.014705882352941124,4.4893737996325775,121223.38293469687
p6_real,hotcorner,0.8925356149673462,0.014285714285714235,3.435585604395185,125332.670046563
p7_real,blink,1.778758102739361,0.0,4.192242827213986,97675.31123132289
p7_real,head_turn,1.4828793870078192,0.01388888888888884,3.094983716805776,68814.2542644721
p7_real,hotcorner,1.0277820531872734,0.0,3.249024142389712,114522.01780131101
p8_real,blink,1.5602486234315684,0.04225352112676062,3.6174361235658887,74529.62169957544
p8_real,head_turn,1.4558061733841896,0.015625,3.48939336463809,80431.94296074398
p8_real,hotcorner,0.5938700623810291,0.078125,2.7431756630539894,80241.55271606108
