correct_res,elapsed_task_time,event_type,from_highlighted_to_selected,game_mode,gaze_movement_pr_task,highlighted_cell,index,method,participant,result,target,task_index,timestamp,useLess
,,highlighted_cell,,memory,5426.539102362433,"(3, 5)",0,head_turn,p6_real,,"(3, 5)",0,2025-05-20 17:34:51.192043,False
,,highlighted_cell,,memory,12299.702570711552,"(2, 5)",1,head_turn,p6_real,,"(3, 5)",0,2025-05-20 17:34:55.306366,False
,,highlighted_cell,,memory,14506.116989314589,"(3, 5)",2,head_turn,p6_real,,"(3, 5)",0,2025-05-20 17:34:56.407680,False
True,13.322783946990967,TaskCompleted,4.808514356613159,memory,19338.545634288388,"(3, 5)",3,head_turn,p6_real,"(3, 5)","(3, 5)",0,2025-05-20 17:35:01.216194,False
,,highlighted_cell,,memory,21359.74022652131,"(3, 5)",4,head_turn,p6_real,,"(2, 3)",1,2025-05-20 17:35:03.014015,False
,,highlighted_cell,,memory,28551.3229325432,"(2, 3)",5,head_turn,p6_real,,"(2, 3)",1,2025-05-20 17:35:07.300768,False
True,7.286436319351196,TaskCompleted,2.2052481174468994,memory,30975.219272951803,"(2, 3)",6,head_turn,p6_real,"(2, 3)","(2, 3)",1,2025-05-20 17:35:09.506016,False
,,highlighted_cell,,memory,41885.9121684276,"(3, 5)",7,head_turn,p6_real,,"(3, 4)",2,2025-05-20 17:35:15.122682,False
,,highlighted_cell,,memory,42779.27736819974,"(3, 4)",8,head_turn,p6_real,,"(3, 4)",2,2025-05-20 17:35:15.989270,False
True,7.571487903594971,TaskCompleted,2.090564012527466,memory,44005.89548625474,"(3, 4)",9,head_turn,p6_real,"(3, 4)","(3, 4)",2,2025-05-20 17:35:18.080938,False
,,highlighted_cell,,memory,44475.78078897817,"(3, 4)",10,head_turn,p6_real,,"(1, 3)",3,2025-05-20 17:35:19.498403,False
,,highlighted_cell,,memory,46757.4141621215,"(3, 5)",11,head_turn,p6_real,,"(1, 3)",3,2025-05-20 17:35:20.812614,False
,,highlighted_cell,,memory,48308.02287425471,"(2, 3)",12,head_turn,p6_real,,"(1, 3)",3,2025-05-20 17:35:21.729558,False
,,highlighted_cell,,memory,48810.08554387557,"(1, 3)",13,head_turn,p6_real,,"(1, 3)",3,2025-05-20 17:35:22.717549,False
True,5.554354906082153,TaskCompleted,1.9209868907928467,memory,49484.42188749223,"(1, 3)",14,head_turn,p6_real,"(1, 3)","(1, 3)",3,2025-05-20 17:35:24.637536,False
,,highlighted_cell,,memory,50182.50256997637,"(2, 4)",15,head_turn,p6_real,,"(1, 5)",4,2025-05-20 17:35:26.187851,False
,,highlighted_cell,,memory,52261.31352131901,"(2, 5)",16,head_turn,p6_real,,"(1, 5)",4,2025-05-20 17:35:27.650125,False
,,highlighted_cell,,memory,52767.85519429099,"(1, 5)",17,head_turn,p6_real,,"(1, 5)",4,2025-05-20 17:35:28.800699,False
True,4.433761358261108,TaskCompleted,1.2736737728118896,memory,53185.74695584566,"(1, 5)",18,head_turn,p6_real,"(1, 5)","(1, 5)",4,2025-05-20 17:35:30.073362,False
,,highlighted_cell,,memory,55471.16717076288,"(2, 5)",19,head_turn,p6_real,,"(2, 4)",5,2025-05-20 17:35:32.002668,False
,,highlighted_cell,,memory,57529.49209377817,"(2, 4)",20,head_turn,p6_real,,"(2, 4)",5,2025-05-20 17:35:34.675197,False
,,highlighted_cell,,memory,57918.77772907349,"(3, 4)",21,head_turn,p6_real,,"(2, 4)",5,2025-05-20 17:35:35.422706,False
,,highlighted_cell,,memory,58504.24951154273,"(2, 4)",22,head_turn,p6_real,,"(2, 4)",5,2025-05-20 17:35:36.459444,False
True,6.870124578475952,TaskCompleted,1.487273931503296,memory,59260.65011409046,"(2, 4)",23,head_turn,p6_real,"(2, 4)","(2, 4)",5,2025-05-20 17:35:37.946212,False
,,highlighted_cell,,memory,59689.507929349915,"(2, 4)",24,head_turn,p6_real,,"(1, 4)",6,2025-05-20 17:35:39.368248,False
,,highlighted_cell,,memory,63577.70786644796,"(2, 5)",25,head_turn,p6_real,,"(1, 4)",6,2025-05-20 17:35:41.761305,False
,,highlighted_cell,,memory,64856.149723788956,"(3, 5)",26,head_turn,p6_real,,"(1, 4)",6,2025-05-20 17:35:42.279787,False
,,highlighted_cell,,memory,65675.97335723523,"(2, 4)",27,head_turn,p6_real,,"(1, 4)",6,2025-05-20 17:35:43.304075,False
,,highlighted_cell,,memory,65778.46560566717,"(1, 4)",28,head_turn,p6_real,,"(1, 4)",6,2025-05-20 17:35:43.751153,False
